Year,State,District,In-migrants
1992 - 1996,Haryana,Jind,85120
1992 - 1996,Haryana,Kaithal,55579
1992 - 1996,Haryana,Karnal,92112
1992 - 1996,Haryana,Kurukshetra,60063
1992 - 1996,Haryana,Mahendragarh,43785
1992 - 1996,Haryana,Panchkula,104309
1992 - 1996,Haryana,Panipat,113381
1992 - 1996,Haryana,Rewari,60978
1992 - 1996,Haryana,Rohtak,77559
1992 - 1996,Haryana,Sirsa,99683
1992 - 1996,Haryana,Sonipat,84107
1992 - 1996,Haryana,Yamunanagar,59538
1992 - 1996,Himachal Pradesh,Bilaspur,16525
1992 - 1996,Himachal Pradesh,Chamba,26198
1992 - 1996,Himachal Pradesh,Hamirpur,25695
1992 - 1996,Himachal Pradesh,Kangra,108666
1992 - 1996,Himachal Pradesh,Kinnaur,12778
1992 - 1996,Himachal Pradesh,Kullu,23541
1992 - 1996,Himachal Pradesh,Lahaul And Spiti,3918
1992 - 1996,Himachal Pradesh,Mandi,50937
1992 - 1996,Himachal Pradesh,Shimla,68920
1992 - 1996,Himachal Pradesh,Sirmaur,29282
1992 - 1996,Himachal Pradesh,Solan,68653
1992 - 1996,Himachal Pradesh,Una,44269
1992 - 1996,Madhya Pradesh,Balaghat,89838
1992 - 1996,Madhya Pradesh,Barwani,67351
1992 - 1996,Madhya Pradesh,Betul,73939
1992 - 1996,Madhya Pradesh,Bhind,61848
1992 - 1996,Madhya Pradesh,Bhopal,152960
1992 - 1996,Madhya Pradesh,Chhatarpur,66495
1992 - 1996,Madhya Pradesh,Chhindwara,106769
1992 - 1996,Madhya Pradesh,Damoh,58564
1992 - 1996,Madhya Pradesh,Datia,21610
1992 - 1996,Madhya Pradesh,Dewas,85105
1992 - 1996,Madhya Pradesh,Dhar,112955
1992 - 1996,Madhya Pradesh,Dindori,22815
1992 - 1996,Madhya Pradesh,Guna,78737
1992 - 1996,Madhya Pradesh,Gwalior,109897
1992 - 1996,Madhya Pradesh,Harda,40919
1992 - 1996,Madhya Pradesh,Hoshangabad,92354
1992 - 1996,Madhya Pradesh,Indore,192365
1992 - 1996,Madhya Pradesh,Jabalpur,136718
1992 - 1996,Madhya Pradesh,Jhabua,60845
1992 - 1996,Madhya Pradesh,Katni,53969
1992 - 1996,Madhya Pradesh,Khandwa,134281
1992 - 1996,Madhya Pradesh,Khargone,140262
1992 - 1996,Madhya Pradesh,Mandla,61890
1992 - 1996,Madhya Pradesh,Mandsaur,96526
1992 - 1996,Madhya Pradesh,Morena,71959
1992 - 1996,Madhya Pradesh,Narsinghpur,61392
1992 - 1996,Madhya Pradesh,Neemuch,43487
1992 - 1996,Madhya Pradesh,Panna,33523
1992 - 1996,Madhya Pradesh,Raisen,60444
1992 - 1996,Madhya Pradesh,Rajgarh,51116
1992 - 1996,Madhya Pradesh,Ratlam,68773
1992 - 1996,Madhya Pradesh,Rewa,72305
1992 - 1996,Madhya Pradesh,Sagar,112839
1992 - 1996,Madhya Pradesh,Satna,77651
1992 - 1996,Madhya Pradesh,Sehore,52172
1992 - 1996,Madhya Pradesh,Seoni,68420
1992 - 1996,Madhya Pradesh,Shahdol,103694
1992 - 1996,Madhya Pradesh,Shajapur,75847
1992 - 1996,Madhya Pradesh,Sheopur,26755
1992 - 1996,Madhya Pradesh,Shivpuri,52978
1992 - 1996,Madhya Pradesh,Sidhi,103651
1992 - 1996,Madhya Pradesh,Tikamgarh,47194
1992 - 1996,Madhya Pradesh,Ujjain,89914
1992 - 1996,Madhya Pradesh,Umaria,32888
1992 - 1996,Madhya Pradesh,Vidisha,64318
1992 - 1996,Manipur,Bishnupur,1454
1992 - 1996,Manipur,Chandel,2811
1992 - 1996,Manipur,Churachandpur,3471
1992 - 1996,Manipur,Imphal East,6704
1992 - 1996,Manipur,Imphal West,8099
1992 - 1996,Manipur,Senapati,3091
1992 - 1996,Manipur,Tamenglong,656
1992 - 1996,Manipur,Thoubal,2539
1992 - 1996,Manipur,Ukhrul,591
1992 - 1996,Meghalaya,East Garo Hills,1073
1992 - 1996,Meghalaya,East Khasi Hills,16233
1992 - 1996,Meghalaya,Ri Bhoi,2856
1992 - 1996,Meghalaya,South Garo Hills,1383
1992 - 1996,Meghalaya,West Garo Hills,13176
1992 - 1996,Meghalaya,West Jaintia Hills,6327
1992 - 1996,Meghalaya,West Khasi Hills,3933
1992 - 1996,Mizoram,Aizawl,24214
1992 - 1996,Mizoram,Champhai,7153
1992 - 1996,Mizoram,Kolasib,5974
1992 - 1996,Mizoram,Lawngtlai,3591
1992 - 1996,Mizoram,Lunglei,12364
1992 - 1996,Mizoram,Mamit,3804
1992 - 1996,Mizoram,Saiha,1972
1992 - 1996,Mizoram,Serchhip,1883
1992 - 1996,Nagaland,Dimapur,18719
1992 - 1996,Nagaland,Kohima,21765
1992 - 1996,Nagaland,Mokokchung,2685
1992 - 1996,Nagaland,Mon,2816
1992 - 1996,Nagaland,Phek,3946
1992 - 1996,Nagaland,Tuensang,1841
1992 - 1996,Nagaland,Wokha,2959
1992 - 1996,Nagaland,Zunheboto,907
1992 - 1996,Puducherry,Karaikal,23596
1992 - 1996,Puducherry,Mahe,3295
1992 - 1996,Puducherry,Puducherry,93649
1992 - 1996,Puducherry,Yanam,4921
1992 - 1996,Uttar Pradesh,Agra,79548
1992 - 1996,Uttar Pradesh,Aligarh,84962
1992 - 1996,Uttar Pradesh,Allahabad,109769
1992 - 1996,Uttar Pradesh,Auraiyya,36468
1992 - 1996,Uttar Pradesh,Badaun,88365
1992 - 1996,Uttar Pradesh,Bagpat,36784
1992 - 1996,Uttar Pradesh,Banda,57325
1992 - 1996,Uttar Pradesh,Barabanki,63664
1992 - 1996,Uttar Pradesh,Bareilly,113950
1992 - 1996,Uttar Pradesh,Bijnor,108512
1992 - 1996,Uttar Pradesh,Bulandshahr,66599
1992 - 1996,Uttar Pradesh,Chitrakoot,25892
1992 - 1996,Uttar Pradesh,Etah,80292
1992 - 1996,Uttar Pradesh,Etawah,40935
1992 - 1996,Uttar Pradesh,Faizabad,65915
1992 - 1996,Uttar Pradesh,Farrukhabad,41502
1992 - 1996,Uttar Pradesh,Fatehpur,57597
1992 - 1996,Uttar Pradesh,Firozabad,62377
1992 - 1996,Uttar Pradesh,Gautam Buddh Nagar,149812
1992 - 1996,Uttar Pradesh,Ghaziabad,119742
1992 - 1996,Uttar Pradesh,Hamirpur,37018
1992 - 1996,Uttar Pradesh,Hardoi,102976
1992 - 1996,Uttar Pradesh,Hathras,33869
1992 - 1996,Uttar Pradesh,Jalaun,39616
1992 - 1996,Uttar Pradesh,Jhansi,65226
1992 - 1996,Uttar Pradesh,Kannauj,33262
1992 - 1996,Uttar Pradesh,Kanpur Rural,46907
1992 - 1996,Uttar Pradesh,Kanpur Urban,94640
1992 - 1996,Uttar Pradesh,Kaushambi,23185
1992 - 1996,Uttar Pradesh,Kheri,58013
1992 - 1996,Uttar Pradesh,Lalitpur,33334
1992 - 1996,Uttar Pradesh,Lucknow,171767
1992 - 1996,Uttar Pradesh,Mahoba,26840
1992 - 1996,Uttar Pradesh,Mainpuri,47651
1992 - 1996,Uttar Pradesh,Mathura,83637
1992 - 1996,Uttar Pradesh,Mau,42750
1992 - 1996,Uttar Pradesh,Meerut,101182
1992 - 1996,Uttar Pradesh,Moradabad,105607
1992 - 1996,Uttar Pradesh,Muzaffarnagar,129445
1992 - 1996,Uttar Pradesh,Pilibhit,51754
1992 - 1996,Uttar Pradesh,Pratapgarh,64343
1992 - 1996,Uttar Pradesh,Rae Bareli,75166
1992 - 1996,Uttar Pradesh,Rampur,60532
1992 - 1996,Uttar Pradesh,Saharanpur,102773
1992 - 1996,Uttar Pradesh,Shahjahanpur,77482
1992 - 1996,Uttar Pradesh,Sitapur,103821
1992 - 1996,Uttar Pradesh,Sultanpur,103005
1992 - 1996,Uttar Pradesh,Unnao,82300
1992 - 1996,Uttarakhand,Bageshwar,12819
1992 - 1996,Uttarakhand,Chamoli,40322
1992 - 1996,Uttarakhand,Dehradun,118800
1992 - 1996,Uttarakhand,Haridwar,66374
1992 - 1996,Uttarakhand,Nainital,90597
1992 - 1996,Uttarakhand,Pauri Garhwal,41960
1992 - 1996,Uttarakhand,Udham Singh Nagar,87365
1992 - 1996,Uttarakhand,Uttarkashi,21964
1997 - 2000,Andaman And Nicobar Islands,Andamans,32517
1997 - 2000,Andaman And Nicobar Islands,Nicobar,7498
1997 - 2000,Andhra Pradesh,Anantapur,236641
1997 - 2000,Andhra Pradesh,Chittoor,286762
1997 - 2000,Andhra Pradesh,East Godavari,400129
1997 - 2000,Andhra Pradesh,Guntur,310316
1997 - 2000,Andhra Pradesh,Kadapa,180068
1997 - 2000,Andhra Pradesh,Krishna,395544
1997 - 2000,Andhra Pradesh,Kurnool,191455
1997 - 2000,Andhra Pradesh,Nellore,239927
1997 - 2000,Andhra Pradesh,Prakasam,220070
1997 - 2000,Andhra Pradesh,Srikakulam,164126
1997 - 2000,Andhra Pradesh,Visakhapatnam,298522
1997 - 2000,Andhra Pradesh,Vizianagaram,153665
1997 - 2000,Andhra Pradesh,West Godavari,350784
1997 - 2000,Arunachal Pradesh,Changlang,21176
1997 - 2000,Arunachal Pradesh,Dibang Valley,18365
1997 - 2000,Arunachal Pradesh,East Kameng,6146
1997 - 2000,Arunachal Pradesh,East Siang,14022
1997 - 2000,Arunachal Pradesh,Lohit,35711
1997 - 2000,Arunachal Pradesh,Lower Subansiri,7565
1997 - 2000,Arunachal Pradesh,Papum Pare,32011
1997 - 2000,Arunachal Pradesh,Tawang,4106
1997 - 2000,Arunachal Pradesh,Tirap,15674
1997 - 2000,Arunachal Pradesh,Upper Siang,8460
1997 - 2000,Arunachal Pradesh,Upper Subansiri,9130
1997 - 2000,Arunachal Pradesh,West Kameng,19069
1997 - 2000,Arunachal Pradesh,West Siang,13354
1997 - 2000,Chandigarh,Chandigarh,192332
1997 - 2000,Dadra And Nagar Haveli,Dadra And Nagar Haveli,33712
1997 - 2000,Daman And Diu,Daman,27577
1997 - 2000,Daman And Diu,Diu,3281
1997 - 2000,Goa,North Goa,133765
1997 - 2000,Goa,South Goa,92495
1997 - 2000,Haryana,Ambala,112067
1997 - 2000,Haryana,Bhiwani,84749
1997 - 2000,Haryana,Faridabad,269459
1997 - 2000,Haryana,Fatehabad,58398
1997 - 2000,Haryana,Gurgaon,224438
1997 - 2000,Haryana,Hisar,129557
1997 - 2000,Haryana,Jhajjar,90089
1997 - 2000,Haryana,Jind,81057
1997 - 2000,Haryana,Kaithal,52586
1997 - 2000,Haryana,Karnal,91412
1997 - 2000,Haryana,Kurukshetra,55161
1997 - 2000,Haryana,Mahendragarh,40589
1997 - 2000,Haryana,Panchkula,99176
1997 - 2000,Haryana,Panipat,119929
1997 - 2000,Haryana,Rewari,63602
1997 - 2000,Haryana,Rohtak,69949
1997 - 2000,Haryana,Sirsa,89975
1997 - 2000,Haryana,Sonipat,95782
1997 - 2000,Haryana,Yamunanagar,63962
1997 - 2000,Himachal Pradesh,Bilaspur,20731
1997 - 2000,Himachal Pradesh,Chamba,32544
1997 - 2000,Himachal Pradesh,Hamirpur,31729
1997 - 2000,Himachal Pradesh,Kangra,105385
1997 - 2000,Himachal Pradesh,Kinnaur,11508
1997 - 2000,Himachal Pradesh,Kullu,27229
1997 - 2000,Himachal Pradesh,Lahaul And Spiti,3692
1997 - 2000,Himachal Pradesh,Mandi,65494
1997 - 2000,Himachal Pradesh,Shimla,73368
1997 - 2000,Himachal Pradesh,Sirmaur,44615
1997 - 2000,Himachal Pradesh,Solan,68320
1997 - 2000,Himachal Pradesh,Una,39998
1997 - 2000,Madhya Pradesh,Balaghat,91212
1997 - 2000,Madhya Pradesh,Barwani,77750
1997 - 2000,Madhya Pradesh,Betul,78080
1997 - 2000,Madhya Pradesh,Bhind,59993
1997 - 2000,Madhya Pradesh,Bhopal,159554
1997 - 2000,Madhya Pradesh,Chhatarpur,58838
1997 - 2000,Madhya Pradesh,Chhindwara,104618
1997 - 2000,Madhya Pradesh,Damoh,57231
1997 - 2000,Madhya Pradesh,Datia,20048
1997 - 2000,Madhya Pradesh,Dewas,76912
1997 - 2000,Madhya Pradesh,Dhar,108264
1997 - 2000,Madhya Pradesh,Dindori,25365
1997 - 2000,Madhya Pradesh,Guna,76555
1997 - 2000,Madhya Pradesh,Gwalior,120787
1997 - 2000,Madhya Pradesh,Harda,48070
1997 - 2000,Madhya Pradesh,Hoshangabad,85812
1997 - 2000,Madhya Pradesh,Indore,220619
1997 - 2000,Madhya Pradesh,Jabalpur,121511
1997 - 2000,Madhya Pradesh,Jhabua,65073
1997 - 2000,Madhya Pradesh,Katni,53885
1997 - 2000,Madhya Pradesh,Khandwa,134872
1997 - 2000,Madhya Pradesh,Khargone,142836
1997 - 2000,Madhya Pradesh,Mandla,61267
1997 - 2000,Madhya Pradesh,Mandsaur,83490
1997 - 2000,Madhya Pradesh,Morena,62267
1997 - 2000,Madhya Pradesh,Narsinghpur,62030
1997 - 2000,Madhya Pradesh,Neemuch,51850
1997 - 2000,Madhya Pradesh,Panna,29791
1997 - 2000,Madhya Pradesh,Raisen,61164
1997 - 2000,Madhya Pradesh,Rajgarh,50875
1997 - 2000,Madhya Pradesh,Ratlam,67021
1997 - 2000,Madhya Pradesh,Rewa,81092
1997 - 2000,Madhya Pradesh,Sagar,110369
1997 - 2000,Madhya Pradesh,Satna,97174
1997 - 2000,Madhya Pradesh,Sehore,55107
1997 - 2000,Madhya Pradesh,Seoni,71981
1997 - 2000,Madhya Pradesh,Shahdol,84534
1997 - 2000,Madhya Pradesh,Shajapur,70459
1997 - 2000,Madhya Pradesh,Sheopur,26784
1997 - 2000,Madhya Pradesh,Shivpuri,63135
1997 - 2000,Madhya Pradesh,Sidhi,116765
1997 - 2000,Madhya Pradesh,Tikamgarh,52480
1997 - 2000,Madhya Pradesh,Ujjain,115098
1997 - 2000,Madhya Pradesh,Umaria,29021
1997 - 2000,Madhya Pradesh,Vidisha,71256
1997 - 2000,Manipur,Bishnupur,1529
1997 - 2000,Manipur,Chandel,1507
1997 - 2000,Manipur,Churachandpur,3036
1997 - 2000,Manipur,Imphal East,7599
1997 - 2000,Manipur,Imphal West,10809
1997 - 2000,Manipur,Senapati,2958
1997 - 2000,Manipur,Tamenglong,680
1997 - 2000,Manipur,Thoubal,2141
1997 - 2000,Manipur,Ukhrul,650
1997 - 2000,Meghalaya,East Garo Hills,1018
1997 - 2000,Meghalaya,East Khasi Hills,23880
1997 - 2000,Meghalaya,Ri Bhoi,3551
1997 - 2000,Meghalaya,South Garo Hills,1580
1997 - 2000,Meghalaya,West Garo Hills,13263
1997 - 2000,Meghalaya,West Jaintia Hills,7368
1997 - 2000,Meghalaya,West Khasi Hills,3971
1997 - 2000,Mizoram,Aizawl,25325
1997 - 2000,Mizoram,Champhai,9125
1997 - 2000,Mizoram,Kolasib,7129
1997 - 2000,Mizoram,Lawngtlai,3690
1997 - 2000,Mizoram,Lunglei,14931
1997 - 2000,Mizoram,Mamit,5190
1997 - 2000,Mizoram,Saiha,2802
1997 - 2000,Mizoram,Serchhip,2910
1997 - 2000,Nagaland,Dimapur,19821
1997 - 2000,Nagaland,Kohima,22098
1997 - 2000,Nagaland,Mokokchung,2477
1997 - 2000,Nagaland,Mon,2698
1997 - 2000,Nagaland,Phek,4631
1997 - 2000,Nagaland,Tuensang,2061
1997 - 2000,Nagaland,Wokha,3036
1997 - 2000,Nagaland,Zunheboto,825
1997 - 2000,Puducherry,Karaikal,25580
1997 - 2000,Puducherry,Mahe,3620
1997 - 2000,Puducherry,Puducherry,105493
1997 - 2000,Puducherry,Yanam,5060
1997 - 2000,Uttar Pradesh,Agra,85716
1997 - 2000,Uttar Pradesh,Aligarh,81740
1997 - 2000,Uttar Pradesh,Allahabad,114484
1997 - 2000,Uttar Pradesh,Auraiyya,37377
1997 - 2000,Uttar Pradesh,Badaun,79842
1997 - 2000,Uttar Pradesh,Bagpat,36905
1997 - 2000,Uttar Pradesh,Banda,45584
1997 - 2000,Uttar Pradesh,Barabanki,54787
1997 - 2000,Uttar Pradesh,Bareilly,110422
1997 - 2000,Uttar Pradesh,Bijnor,89911
1997 - 2000,Uttar Pradesh,Bulandshahr,67031
1997 - 2000,Uttar Pradesh,Chitrakoot,25190
1997 - 2000,Uttar Pradesh,Etah,71493
1997 - 2000,Uttar Pradesh,Etawah,35795
1997 - 2000,Uttar Pradesh,Faizabad,49432
1997 - 2000,Uttar Pradesh,Farrukhabad,37683
1997 - 2000,Uttar Pradesh,Fatehpur,44795
1997 - 2000,Uttar Pradesh,Firozabad,56244
1997 - 2000,Uttar Pradesh,Gautam Buddh Nagar,174517
1997 - 2000,Uttar Pradesh,Ghaziabad,135637
1997 - 2000,Uttar Pradesh,Hamirpur,29935
1997 - 2000,Uttar Pradesh,Hardoi,86448
1997 - 2000,Uttar Pradesh,Hathras,34608
1997 - 2000,Uttar Pradesh,Jalaun,33279
1997 - 2000,Uttar Pradesh,Jhansi,60022
1997 - 2000,Uttar Pradesh,Kannauj,29368
1997 - 2000,Uttar Pradesh,Kanpur Rural,45896
1997 - 2000,Uttar Pradesh,Kanpur Urban,112091
1997 - 2000,Uttar Pradesh,Kaushambi,20209
1997 - 2000,Uttar Pradesh,Kheri,63558
1997 - 2000,Uttar Pradesh,Lalitpur,30232
1997 - 2000,Uttar Pradesh,Lucknow,187072
1997 - 2000,Uttar Pradesh,Mahoba,25930
1997 - 2000,Uttar Pradesh,Mainpuri,37651
1997 - 2000,Uttar Pradesh,Mathura,89820
1997 - 2000,Uttar Pradesh,Mau,32899
1997 - 2000,Uttar Pradesh,Meerut,104209
1997 - 2000,Uttar Pradesh,Moradabad,90414
1997 - 2000,Uttar Pradesh,Muzaffarnagar,102659
1997 - 2000,Uttar Pradesh,Pilibhit,46485
1997 - 2000,Uttar Pradesh,Pratapgarh,75059
1997 - 2000,Uttar Pradesh,Rae Bareli,64822
1997 - 2000,Uttar Pradesh,Rampur,53815
1997 - 2000,Uttar Pradesh,Saharanpur,108610
1997 - 2000,Uttar Pradesh,Shahjahanpur,68342
1997 - 2000,Uttar Pradesh,Sitapur,108420
1997 - 2000,Uttar Pradesh,Sultanpur,98650
1997 - 2000,Uttar Pradesh,Unnao,82481
1997 - 2000,Uttarakhand,Bageshwar,15545
1997 - 2000,Uttarakhand,Chamoli,44228
1997 - 2000,Uttarakhand,Dehradun,126362
1997 - 2000,Uttarakhand,Haridwar,79006
1997 - 2000,Uttarakhand,Nainital,83891
1997 - 2000,Uttarakhand,Pauri Garhwal,44264
1997 - 2000,Uttarakhand,Udham Singh Nagar,96277
1997 - 2000,Uttarakhand,Uttarkashi,23178
1987 - 1991,Arunachal Pradesh,Papum Pare,22247
1982 - 1986,Arunachal Pradesh,Papum Pare,13876
1977 - 1981,Arunachal Pradesh,Papum Pare,7339
1972 - 1976,Arunachal Pradesh,Papum Pare,5918
