Year,State,District,GDP
1993,Andhra Pradesh,East Godavari,5742.1405265677295
1993,Andhra Pradesh,Vizianagaram,611.3919701969437
1993,Andhra Pradesh,Guntur,5177.086645249754
1993,Andhra Pradesh,Kurnool,1290.005717767837
1993,Andhra Pradesh,Visakhapatnam,5859.467718295921
1993,Andhra Pradesh,Prakasam,1369.2715490148646
1993,Andhra Pradesh,Krishna,3563.882752473067
1993,Andhra Pradesh,West Godavari,6620.147414546637
1993,Andhra Pradesh,Kadapa,1420.92034129421
1993,Andhra Pradesh,Anantapur,1241.257897428516
1993,Andhra Pradesh,Chittoor,2124.222616895841
1993,Andhra Pradesh,Srikakulam,767.8227739257994
1993,Andhra Pradesh,Nellore,1620.296604650398
1993,Haryana,Kurukshetra,3301.3873020539704
1993,Haryana,Ambala,2355.554359099146
1993,Haryana,Panchkula,2014.379234384409
1993,Haryana,Fatehabad,1682.6625555956934
1993,Haryana,Sonipat,2902.0516587315
1993,Haryana,Gurgaon,7820.473751337977
1993,Haryana,Sirsa,816.1420160320455
1993,Haryana,Bhiwani,1551.2587030477137
1993,Haryana,Faridabad,6887.2030649192
1993,Haryana,Panipat,2813.0369690543603
1993,Haryana,Yamunanagar,1286.1953350933766
1993,Haryana,Kaithal,1767.4565052157666
1993,Haryana,Jhajjar,1594.5395927517554
1993,Haryana,Jind,1356.1964047474835
1993,Haryana,Mahendragarh,1336.999832523514
1993,Haryana,Hisar,2423.655349671723
1993,Haryana,Rewari,2417.921237252333
1993,Haryana,Karnal,3469.3055131846645
1993,Haryana,Rohtak,2135.8223360989537
1993,Himachal Pradesh,Mandi,1281.2208978229144
1993,Himachal Pradesh,Una,716.5840770709075
1993,Himachal Pradesh,Hamirpur,2218.236911490052
1993,Himachal Pradesh,Kangra,612.7683084707603
1993,Himachal Pradesh,Bilaspur,881.6208345393726
1993,Himachal Pradesh,Kullu,806.0841916997078
1993,Himachal Pradesh,Kinnaur,477.38533975849975
1993,Himachal Pradesh,Chamba,601.8963319599561
1993,Himachal Pradesh,Solan,966.8074633747341
1993,Himachal Pradesh,Shimla,827.7155659653805
1993,Himachal Pradesh,Sirmaur,1195.2912436240624
1993,Madhya Pradesh,Khandwa,1386.4624148859248
1993,Madhya Pradesh,Raisen,1221.5129329130255
1993,Madhya Pradesh,Barwani,583.2242285721679
1993,Madhya Pradesh,Tikamgarh,630.6147125222517
1993,Madhya Pradesh,Sheopur,432.9859539455813
1993,Madhya Pradesh,Hoshangabad,572.051590586749
1993,Madhya Pradesh,Dindori,198.75869640159263
1993,Madhya Pradesh,Khargone,541.9387665335514
1993,Madhya Pradesh,Chhindwara,1502.4299953437067
1993,Madhya Pradesh,Rewa,1165.5540331694106
1993,Madhya Pradesh,Sehore,1158.7039365463813
1993,Madhya Pradesh,Jabalpur,2070.8978661135143
1993,Madhya Pradesh,Dewas,1057.728416576849
1993,Madhya Pradesh,Mandla,288.75902814335257
1993,Madhya Pradesh,Narsinghpur,1510.6524181156906
1993,Madhya Pradesh,Mandsaur,1474.0828113621294
1993,Madhya Pradesh,Seoni,1109.3942090921705
1993,Madhya Pradesh,Damoh,673.9604476067437
1993,Madhya Pradesh,Rajgarh,740.8265376328125
1993,Madhya Pradesh,Betul,804.3877841889687
1993,Madhya Pradesh,Chhatarpur,642.3699402697767
1993,Madhya Pradesh,Jhabua,436.8550945227812
1993,Madhya Pradesh,Satna,1133.273734840151
1993,Madhya Pradesh,Ujjain,1746.4564799207087
1993,Madhya Pradesh,Umaria,365.0517041146747
1993,Madhya Pradesh,Shajapur,1261.5147954337856
1993,Madhya Pradesh,Katni,1282.2142437762234
1993,Madhya Pradesh,Guna,1165.8848725893852
1993,Madhya Pradesh,Neemuch,1238.753834824779
1993,Madhya Pradesh,Ratlam,1058.9414205932105
1993,Madhya Pradesh,Morena,1181.0636124646048
1993,Madhya Pradesh,Bhind,945.7643200720328
1993,Madhya Pradesh,Shivpuri,1165.4268122380695
1993,Madhya Pradesh,Bhopal,1354.5541809085491
1993,Madhya Pradesh,Panna,474.3052115033275
1993,Madhya Pradesh,Vidisha,1163.2026924261686
1993,Madhya Pradesh,Indore,6135.825765999392
1993,Madhya Pradesh,Balaghat,604.5961071540895
1993,Madhya Pradesh,Gwalior,1201.701592216092
1993,Madhya Pradesh,Sidhi,1807.5909933616608
1993,Madhya Pradesh,Dhar,1167.3111009005015
1993,Madhya Pradesh,Shahdol,1061.846718035786
1993,Madhya Pradesh,Datia,514.7634778933323
1993,Madhya Pradesh,Sagar,1091.4012873216943
1993,Madhya Pradesh,Harda,596.7347867745267
1993,Manipur,Senapati,467.22930839476
1993,Manipur,Ukhrul,335.63396971874994
1993,Manipur,Churachandpur,416.1148829673911
1993,Manipur,Imphal West,904.5976626688471
1993,Manipur,Thoubal,609.7657431014368
1993,Manipur,Tamenglong,179.19402916423238
1993,Manipur,Imphal East,958.3597032453947
1993,Manipur,Bishnupur,823.0036927761066
1993,Manipur,Chandel,257.40779543770685
1993,Meghalaya,West Garo Hills,385.7313847690857
1993,Meghalaya,East Garo Hills,248.79975950693742
1993,Meghalaya,West Khasi Hills,344.7950267103968
1993,Meghalaya,South Garo Hills,418.2551870928331
1993,Meghalaya,East Jaintia Hills,618.0887781600967
1993,Meghalaya,Ri Bhoi,514.1513731447436
1993,Meghalaya,East Khasi Hills,993.70594110534
1993,Mizoram,Champhai,220.91716456133548
1993,Mizoram,Lawngtlai,176.66723086357175
1993,Mizoram,Aizawl,466.7858090405861
1993,Mizoram,Saiha,256.0262968664236
1993,Mizoram,Mamit,199.22787893844082
1993,Mizoram,Lunglei,295.83869885485433
1993,Mizoram,Serchhip,318.0390762906485
1993,Mizoram,Kolasib,238.82369404983936
1993,Uttar Pradesh,Jhansi,1189.3304521305126
1993,Uttar Pradesh,Mainpuri,969.7457473290738
1993,Uttar Pradesh,Sitapur,714.6546488116844
1993,Uttar Pradesh,Allahabad,2542.401946834779
1993,Uttar Pradesh,Pilibhit,1196.8840854084165
1993,Uttar Pradesh,Bareilly,1447.0442390045193
1993,Uttar Pradesh,Bulandshahr,1265.1691978251215
1993,Uttar Pradesh,Aligarh,1708.4811069477973
1993,Uttar Pradesh,Mau,1010.8713837783054
1993,Uttar Pradesh,Pratapgarh,1337.9926086342725
1993,Uttar Pradesh,Mathura,873.6122103153955
1993,Uttar Pradesh,Kanpur Rural,656.2684784474097
1993,Uttar Pradesh,Muzaffarnagar,2647.0126911634725
1993,Uttar Pradesh,Shahjahanpur,1077.492474616973
1993,Uttar Pradesh,Auraiyya,1081.2863533139619
1993,Uttar Pradesh,Chitrakoot,190.99123375040486
1993,Uttar Pradesh,Moradabad,1665.8127759643342
1993,Uttar Pradesh,Sultanpur,799.5904761309962
1993,Uttar Pradesh,Meerut,3614.026958822875
1993,Uttar Pradesh,Fatehpur,559.1975355131244
1993,Uttar Pradesh,Unnao,806.1281875911725
1993,Uttar Pradesh,Hardoi,824.2713592780512
1993,Uttar Pradesh,Bijnor,1786.3675842440014
1993,Uttar Pradesh,Lalitpur,347.5269217497295
1993,Uttar Pradesh,Hamirpur,2218.236911490052
1993,Uttar Pradesh,Kanpur Urban,3021.6256126462017
1993,Uttar Pradesh,Faizabad,731.0741555589783
1993,Uttar Pradesh,Farrukhabad,1289.3018468985915
1993,Uttar Pradesh,Saharanpur,1437.8176531272827
1993,Uttar Pradesh,Rampur,1016.3148756530597
1993,Uttar Pradesh,Barabanki,752.2675817103873
1993,Uttar Pradesh,Kaushambi,327.27313846876507
1993,Uttar Pradesh,Lucknow,3463.1004303392187
1993,Uttar Pradesh,Ghaziabad,4727.476095365707
1993,Uttar Pradesh,Gautam Buddh Nagar,1577.7281546402114
1993,Uttar Pradesh,Firozabad,959.7310909419116
1993,Uttar Pradesh,Kheri,1395.6945783274875
1993,Uttar Pradesh,Agra,2224.6506398506376
1993,Uttar Pradesh,Etah,1216.0052702060975
1993,Uttar Pradesh,Rae Bareli,627.8672854385272
1993,Uttar Pradesh,Mahoba,328.96366303413475
1993,Uttar Pradesh,Kannauj,722.1829120698222
1993,Uttar Pradesh,Bagpat,748.4017236551756
1993,Uttar Pradesh,Jalaun,1314.1960346431995
1993,Uttarakhand,Udham Singh Nagar,1221.4062686453246
1993,Uttarakhand,Chamoli,285.38109140924706
1993,Uttarakhand,Bageshwar,208.94111544981465
1993,Uttarakhand,Nainital,1434.321986038892
1993,Uttarakhand,Uttarkashi,271.62466043021584
1993,Uttarakhand,Pauri Garhwal,364.0091834757322
1993,Uttarakhand,Dehradun,1116.293923595903
1994,Andhra Pradesh,East Godavari,5849.243059671264
1994,Andhra Pradesh,Vizianagaram,609.8522771554598
1994,Andhra Pradesh,Guntur,6095.787770845701
1994,Andhra Pradesh,Kurnool,1547.9264846892013
1994,Andhra Pradesh,Visakhapatnam,6145.695995667607
1994,Andhra Pradesh,Prakasam,1590.1854839871885
1994,Andhra Pradesh,Krishna,3997.862037703887
1994,Andhra Pradesh,West Godavari,7286.474833580462
1994,Andhra Pradesh,Kadapa,1593.4173365651618
1994,Andhra Pradesh,Anantapur,1391.0214891122657
1994,Andhra Pradesh,Chittoor,2602.4369319745942
1994,Andhra Pradesh,Srikakulam,799.8654571360997
1994,Andhra Pradesh,Nellore,1816.7198437768743
1994,Haryana,Kurukshetra,3511.8074518888593
1994,Haryana,Ambala,2411.6280652101964
1994,Haryana,Panchkula,1981.0597969320183
1994,Haryana,Fatehabad,1878.7956919543133
1994,Haryana,Sonipat,2919.2161510571623
1994,Haryana,Gurgaon,9092.247511348318
1994,Haryana,Sirsa,925.8914425550747
1994,Haryana,Bhiwani,1727.0627788049192
1994,Haryana,Faridabad,6985.021631948932
1994,Haryana,Panipat,3091.11628037136
1994,Haryana,Yamunanagar,1365.9686263794654
1994,Haryana,Kaithal,1838.2185811138424
1994,Haryana,Jhajjar,1596.551189627426
1994,Haryana,Jind,1371.4143096895832
1994,Haryana,Mahendragarh,1459.835514649145
1994,Haryana,Hisar,2458.494317593113
1994,Haryana,Rewari,2732.8089375572767
1994,Haryana,Karnal,3604.846909663993
1994,Haryana,Rohtak,2190.4339069176754
1994,Himachal Pradesh,Mandi,1447.5418808488732
1994,Himachal Pradesh,Una,770.5178868929703
1994,Himachal Pradesh,Hamirpur,2248.005642147436
1994,Himachal Pradesh,Kangra,720.3189974750591
1994,Himachal Pradesh,Bilaspur,916.044651383533
1994,Himachal Pradesh,Kullu,892.1389835406347
1994,Himachal Pradesh,Kinnaur,504.877519952432
1994,Himachal Pradesh,Chamba,630.0505120275575
1994,Himachal Pradesh,Solan,1129.9355531503174
1994,Himachal Pradesh,Shimla,861.6461175391196
1994,Himachal Pradesh,Sirmaur,1344.9076598344834
1994,Madhya Pradesh,Khandwa,1519.8361618329734
1994,Madhya Pradesh,Raisen,1228.0806649800618
1994,Madhya Pradesh,Barwani,664.0020252303839
1994,Madhya Pradesh,Tikamgarh,666.5891586949166
1994,Madhya Pradesh,Sheopur,434.4002486163449
1994,Madhya Pradesh,Hoshangabad,620.1584568404592
1994,Madhya Pradesh,Dindori,218.24111413795842
1994,Madhya Pradesh,Khargone,622.284310572481
1994,Madhya Pradesh,Chhindwara,1633.0766737253982
1994,Madhya Pradesh,Rewa,1191.36067090477
1994,Madhya Pradesh,Sehore,1246.4444767059615
1994,Madhya Pradesh,Jabalpur,2121.0113156345465
1994,Madhya Pradesh,Dewas,1123.957106664117
1994,Madhya Pradesh,Mandla,283.5939579406572
1994,Madhya Pradesh,Narsinghpur,1697.2772038571757
1994,Madhya Pradesh,Mandsaur,1549.3718212361318
1994,Madhya Pradesh,Seoni,1099.3494963943058
1994,Madhya Pradesh,Damoh,764.7049953253786
1994,Madhya Pradesh,Rajgarh,799.3090458959413
1994,Madhya Pradesh,Betul,842.7814725049077
1994,Madhya Pradesh,Chhatarpur,649.6772608188321
1994,Madhya Pradesh,Jhabua,469.23137334597953
1994,Madhya Pradesh,Satna,1228.4225478809865
1994,Madhya Pradesh,Ujjain,1827.8640291364773
1994,Madhya Pradesh,Umaria,364.0936280025928
1994,Madhya Pradesh,Shajapur,1307.4317562668905
1994,Madhya Pradesh,Katni,1317.122144794871
1994,Madhya Pradesh,Guna,1248.0373675512676
1994,Madhya Pradesh,Neemuch,1218.8158576819847
1994,Madhya Pradesh,Ratlam,1131.5555493190468
1994,Madhya Pradesh,Morena,1181.4923520819855
1994,Madhya Pradesh,Bhind,1018.9391550222667
1994,Madhya Pradesh,Shivpuri,1147.2355654928822
1994,Madhya Pradesh,Bhopal,1596.3028684278408
1994,Madhya Pradesh,Panna,524.0000932863733
1994,Madhya Pradesh,Vidisha,1154.584860762854
1994,Madhya Pradesh,Indore,6361.311442218975
1994,Madhya Pradesh,Balaghat,616.6399073440507
1994,Madhya Pradesh,Gwalior,1452.7655705971836
1994,Madhya Pradesh,Sidhi,2016.535237995626
1994,Madhya Pradesh,Dhar,1210.1459105497886
1994,Madhya Pradesh,Shahdol,1206.1994057266265
1994,Madhya Pradesh,Datia,523.0743036646135
1994,Madhya Pradesh,Sagar,1146.4750557919149
1994,Madhya Pradesh,Harda,660.6672789198972
1994,Manipur,Senapati,554.9016397719531
1994,Manipur,Ukhrul,364.8664589074724
1994,Manipur,Churachandpur,470.6768928797711
1994,Manipur,Imphal West,998.2067416261723
1994,Manipur,Thoubal,704.6292858828068
1994,Manipur,Tamenglong,205.50300774915505
1994,Manipur,Imphal East,1064.6902533711216
1994,Manipur,Bishnupur,989.8654252877492
1994,Manipur,Chandel,298.25757215262723
1994,Meghalaya,West Garo Hills,441.6292872895015
1994,Meghalaya,East Garo Hills,263.07693069029455
1994,Meghalaya,West Khasi Hills,383.76065385677276
1994,Meghalaya,South Garo Hills,429.0737948680677
1994,Meghalaya,East Jaintia Hills,692.5336775427072
1994,Meghalaya,Ri Bhoi,578.8874917172802
1994,Meghalaya,East Khasi Hills,1167.3684411604802
1994,Mizoram,Champhai,248.0547077541427
1994,Mizoram,Lawngtlai,189.65799195939937
1994,Mizoram,Aizawl,546.7173465455031
1994,Mizoram,Saiha,288.71726723798736
1994,Mizoram,Mamit,218.98922727235703
1994,Mizoram,Lunglei,347.4169281092143
1994,Mizoram,Serchhip,356.1747439671985
1994,Mizoram,Kolasib,273.97486547916117
1994,Uttar Pradesh,Jhansi,1246.5567292786016
1994,Uttar Pradesh,Mainpuri,977.1759166462243
1994,Uttar Pradesh,Sitapur,717.4939600778331
1994,Uttar Pradesh,Allahabad,2830.8875788871296
1994,Uttar Pradesh,Pilibhit,1313.8374507593774
1994,Uttar Pradesh,Bareilly,1508.7284644992435
1994,Uttar Pradesh,Bulandshahr,1485.9042436804102
1994,Uttar Pradesh,Aligarh,1815.9020119580591
1994,Uttar Pradesh,Mau,1006.3134798282769
1994,Uttar Pradesh,Pratapgarh,1323.2069519302113
1994,Uttar Pradesh,Mathura,949.9468722185093
1994,Uttar Pradesh,Kanpur Rural,791.0998399186324
1994,Uttar Pradesh,Muzaffarnagar,3162.248226102763
1994,Uttar Pradesh,Shahjahanpur,1192.9417639298108
1994,Uttar Pradesh,Auraiyya,1160.9352947976856
1994,Uttar Pradesh,Chitrakoot,226.68708605836247
1994,Uttar Pradesh,Moradabad,1756.7525234914158
1994,Uttar Pradesh,Sultanpur,815.3895757596692
1994,Uttar Pradesh,Meerut,3647.207422824968
1994,Uttar Pradesh,Fatehpur,673.7765546802133
1994,Uttar Pradesh,Unnao,800.2912094149701
1994,Uttar Pradesh,Hardoi,828.5178159690296
1994,Uttar Pradesh,Bijnor,1968.6753547164035
1994,Uttar Pradesh,Lalitpur,384.0592361650485
1994,Uttar Pradesh,Hamirpur,2248.005642147436
1994,Uttar Pradesh,Kanpur Urban,3028.543463838045
1994,Uttar Pradesh,Faizabad,770.0827556337999
1994,Uttar Pradesh,Farrukhabad,1289.0133708654505
1994,Uttar Pradesh,Saharanpur,1466.4955821946853
1994,Uttar Pradesh,Rampur,1114.2091775857784
1994,Uttar Pradesh,Barabanki,758.5446254970799
1994,Uttar Pradesh,Kaushambi,340.14188912856287
1994,Uttar Pradesh,Lucknow,3801.6524296631305
1994,Uttar Pradesh,Ghaziabad,5064.92945426417
1994,Uttar Pradesh,Gautam Buddh Nagar,1755.8179369540546
1994,Uttar Pradesh,Firozabad,954.9997399005756
1994,Uttar Pradesh,Kheri,1540.9596758380146
1994,Uttar Pradesh,Agra,2473.008348324085
1994,Uttar Pradesh,Etah,1280.5987001071726
1994,Uttar Pradesh,Rae Bareli,665.5281899513009
1994,Uttar Pradesh,Mahoba,354.6007244431462
1994,Uttar Pradesh,Kannauj,776.1906634589461
1994,Uttar Pradesh,Bagpat,755.619156891617
1994,Uttar Pradesh,Jalaun,1452.6466412905302
1994,Uttarakhand,Udham Singh Nagar,1274.0003967649436
1994,Uttarakhand,Chamoli,281.48213831543
1994,Uttarakhand,Bageshwar,210.98743668214297
1994,Uttarakhand,Nainital,1591.6051271486062
1994,Uttarakhand,Uttarkashi,281.2471854083645
1994,Uttarakhand,Pauri Garhwal,439.2171259531533
1994,Uttarakhand,Dehradun,1235.8972704045498
1995,Andhra Pradesh,East Godavari,6819.831282960803
1995,Andhra Pradesh,Vizianagaram,613.1850648456749
1995,Andhra Pradesh,Guntur,6622.202074444678
1995,Andhra Pradesh,Kurnool,1843.1591379325207
1995,Andhra Pradesh,Visakhapatnam,6575.403179720611
1995,Andhra Pradesh,Prakasam,1861.5647330319046
1995,Andhra Pradesh,Krishna,4555.119309109357
1995,Andhra Pradesh,West Godavari,8574.575988425782
1995,Andhra Pradesh,Kadapa,1732.4763904330246
1995,Andhra Pradesh,Anantapur,1505.5116676009256
1995,Andhra Pradesh,Chittoor,2803.1538043261853
1995,Andhra Pradesh,Srikakulam,842.0070980594533
1995,Andhra Pradesh,Nellore,2134.184330202724
1995,Haryana,Kurukshetra,3217.938322519752
1995,Haryana,Ambala,2434.192475761388
1995,Haryana,Panchkula,2116.605398116291
1995,Haryana,Fatehabad,2018.9611392202291
1995,Haryana,Sonipat,3035.955270279307
1995,Haryana,Gurgaon,9032.270108628092
1995,Haryana,Sirsa,919.7934412560884
1995,Haryana,Bhiwani,1884.927400181861
1995,Haryana,Faridabad,7341.227465673476
1995,Haryana,Panipat,3254.8804274890963
1995,Haryana,Yamunanagar,1361.478924500491
1995,Haryana,Kaithal,1811.6319109688166
1995,Haryana,Jhajjar,1678.1371601743203
1995,Haryana,Jind,1505.7229721917306
1995,Haryana,Mahendragarh,1626.4759283287713
1995,Haryana,Hisar,2835.9709369591783
1995,Haryana,Rewari,2815.349653285103
1995,Haryana,Karnal,3570.942133527114
1995,Haryana,Rohtak,2337.1103295045605
1995,Himachal Pradesh,Mandi,1613.818606246532
1995,Himachal Pradesh,Una,809.2883285318496
1995,Himachal Pradesh,Hamirpur,2514.8949948315194
1995,Himachal Pradesh,Kangra,780.4507304973462
1995,Himachal Pradesh,Bilaspur,995.1108388884368
1995,Himachal Pradesh,Kullu,956.4338050044611
1995,Himachal Pradesh,Kinnaur,543.3917272322826
1995,Himachal Pradesh,Chamba,643.7497572438488
1995,Himachal Pradesh,Solan,1348.1817311432974
1995,Himachal Pradesh,Shimla,902.3280203054137
1995,Himachal Pradesh,Sirmaur,1481.90743734718
1995,Madhya Pradesh,Khandwa,1531.5539517067843
1995,Madhya Pradesh,Raisen,1286.0709897724562
1995,Madhya Pradesh,Barwani,674.3031477020103
1995,Madhya Pradesh,Tikamgarh,685.8581191346867
1995,Madhya Pradesh,Sheopur,477.48659228311004
1995,Madhya Pradesh,Hoshangabad,674.4419592629934
1995,Madhya Pradesh,Dindori,222.88049469242247
1995,Madhya Pradesh,Khargone,737.6725620639412
1995,Madhya Pradesh,Chhindwara,1657.8028080372878
1995,Madhya Pradesh,Rewa,1169.3060112930173
1995,Madhya Pradesh,Sehore,1225.2386821183989
1995,Madhya Pradesh,Jabalpur,2295.844874645319
1995,Madhya Pradesh,Dewas,1254.353026471909
1995,Madhya Pradesh,Mandla,262.1263899575261
1995,Madhya Pradesh,Narsinghpur,1813.6161620488
1995,Madhya Pradesh,Mandsaur,1540.118275570985
1995,Madhya Pradesh,Seoni,1160.2172650560726
1995,Madhya Pradesh,Damoh,880.502472368923
1995,Madhya Pradesh,Rajgarh,844.2869359025731
1995,Madhya Pradesh,Betul,848.9128017698796
1995,Madhya Pradesh,Chhatarpur,672.7529265206084
1995,Madhya Pradesh,Jhabua,509.83926719174883
1995,Madhya Pradesh,Satna,1242.7995853848
1995,Madhya Pradesh,Ujjain,1825.1745820522322
1995,Madhya Pradesh,Umaria,382.80361556251717
1995,Madhya Pradesh,Shajapur,1288.3472078295
1995,Madhya Pradesh,Katni,1330.2016685877502
1995,Madhya Pradesh,Guna,1267.8037575721987
1995,Madhya Pradesh,Neemuch,1313.8743291584206
1995,Madhya Pradesh,Ratlam,1199.378320065027
1995,Madhya Pradesh,Morena,1289.866924249938
1995,Madhya Pradesh,Bhind,1106.9628143692744
1995,Madhya Pradesh,Shivpuri,1193.869923974186
1995,Madhya Pradesh,Bhopal,1745.0517767011997
1995,Madhya Pradesh,Panna,563.8338964166446
1995,Madhya Pradesh,Vidisha,1140.9480609018874
1995,Madhya Pradesh,Indore,6449.219053934809
1995,Madhya Pradesh,Balaghat,649.5944457116743
1995,Madhya Pradesh,Gwalior,1438.8291974093854
1995,Madhya Pradesh,Sidhi,2153.2385047513
1995,Madhya Pradesh,Dhar,1255.4332101495406
1995,Madhya Pradesh,Shahdol,1295.5757828690496
1995,Madhya Pradesh,Datia,529.782002432802
1995,Madhya Pradesh,Sagar,1131.6243678684027
1995,Madhya Pradesh,Harda,692.2405405535487
1995,Manipur,Senapati,595.5049566937607
1995,Manipur,Ukhrul,370.8559386711161
1995,Manipur,Churachandpur,503.9725483312492
1995,Manipur,Imphal West,1080.046069256504
1995,Manipur,Thoubal,824.1891008635312
1995,Manipur,Tamenglong,244.868774158302
1995,Manipur,Imphal East,1267.4716672250556
1995,Manipur,Bishnupur,1077.9462294470036
1995,Manipur,Chandel,350.4826220381331
1995,Meghalaya,West Garo Hills,443.5201007035064
1995,Meghalaya,East Garo Hills,267.06513087946064
1995,Meghalaya,West Khasi Hills,447.2873360478284
1995,Meghalaya,South Garo Hills,451.07812917913765
1995,Meghalaya,East Jaintia Hills,799.7887522455047
1995,Meghalaya,Ri Bhoi,628.7843765998007
1995,Meghalaya,East Khasi Hills,1340.8729027426452
1995,Mizoram,Champhai,286.16539785252337
1995,Mizoram,Lawngtlai,222.17884468099774
1995,Mizoram,Aizawl,586.2999455454406
1995,Mizoram,Saiha,326.96095752484337
1995,Mizoram,Mamit,233.08117946382683
